Site Name,Device ID,OpenMap Name,Neighborhood,Date of Installation,Past Movement,Loss in Data (Total Loss),Current Reading Frequency,Current Reading Frequency Date Start (UTC),Nearby Weather Underground Monitor,Site Address,Height,Location,Approximate Height from Ground,Approximate Distance to First lane of traffic,Accessibility,Grouping,Photos,Close to Major Intersection? (Intersection with lights),On a one way street? (if mixed is the larger street one way?)
CAA Building,ARBVNYYS,Portsmouth Square,Chinatown,8/20/20 12:20,,,900,11/16/21,KCASANFR1834,17 Walter U Lum Pl San Francisco CA 94108,3 stories,Side of building stairwell faces Portsmouth Square,40ft,6m,Secure,High Rooftop,https://drive.google.com/drive/folders/1jQQ5qFxnXbB_nvwtJTzoVKS05ew2uTr2?usp=sharing,0,1
Ping Yuen Center,AYVSW72T,Ping Yuen,Chinatown,8/31/20 15:22,,,900,11/16/21,KCASANFR1834,795 Pacific Ave San Francisco CA 94133,Roof of 1-story building,Facing the street,15 ft,,Secure,Lower/Street Level,https://drive.google.com/drive/folders/1dVHlxPU7Q10664auEF1Raa0z-a7OP8sd?usp=sharing,0,1
BAAQMD Reference Station,A5G4JM95,BAAQMD Reference Station,Potrero Hill,1/13/21 8:09,,,900,11/16/21,KCASANFR1762,10 Arkansas St San Francisco CA,,,,,,n/a,,,
Bessie Carmichael Elementary,AC95QG6X,Bessie Carmichael,South of Market,8/26/20 10:40,,,900,2021-08-27T19:19:36.931000Z,KCASANFR1762,375 7th San Francisco CA 94102,2 stories,Pole,30 ft,3 m,Publicly accessible,Lower/Street Level,https://drive.google.com/drive/folders/1hcJwxaOBvP6T0UJoZxdYEMmcOrpnpiPQ?usp=sharing,0,1
Bryant & 7th,AHZCJNC1,Bryant & 7th,South of Market,8/19/20 8:59,Relocated on October 8th 2021 at 2:15pm from Camputee Press,October 4th 2021 2pm to October 8th 2021 2pm,900,11/16/21,KCASANFR1897,877 Bryant San Francisco CA,1-story building,Rooftop,15 ft,,Secure*,Lower/Street Level,,,
Fitness SF - SoMa,ASB31LYW,Fitness SF - SoMa,South of Market,8/19/20 17:28,Relocated on August 30th 2021 at 1pm from Richmond District,August 8th 2021 8:30am to 1pm PT,900,11/16/21,KCASANFR1796,1001 Brannan St San Francisco CA 94103,4 stories,Rooftop,50ft,,Secure,Highway Impacts,https://drive.google.com/drive/folders/1XqowjKLUcbjsCxXjm-f57UEkInInGZ_L?usp=sharing,1,0
Gene Friend Rec Center,AN3Q2PXB,Gene Friend Rec Center,South of Market,9/24/20 9:45,,SIGNIFICANT DATA LOSS STARTING & HIT BY A BASKETBALL,900,11/16/21,KCASANFR131,1001 Folsom St San Francisco CA 94103,2 stories,Side of building,30 ft,,Publicly Accessible,Lower/Street Level,https://drive.google.com/drive/folders/1re5QZ3BkDO6WVM5k8Iu2x4gUAwJnsvM_?usp=sharing,1,0
Hart Hotel,AW59TBQR,Hart Hotel,South of Market,8/19/20 13:27,,,900,11/16/21,KCASANFR1762,93 6th St. San Francisco CA 94103,2-3 stories,Rooftop,40ft,,Secure,High Rooftop,https://drive.google.com/drive/folders/1KU_bLWlN0MBePPgfJXfewpb3AsP8H1O-?usp=sharing,1,0
Howard & 9th,AKVHMJYG,Howard & 9th,South of Market,9/24/20 9:44,,,900,11/16/21,KCASANFR1753,1300 Howard Street San Francisco CA,2 stories on traffic light,Pole / Traffic Light,15 ft,,Publicly Accessible,Lower/Street Level,https://drive.google.com/drive/folders/1dbXQHVYpnhbc0HMdBW78lYiH4XbOw4ad?usp=sharing,1,1
Market & 7th,ARRJWXYL,Market & 7th,South of Market,9/9/20 11:53,,,900,2021-11-04T18:30:11.138000Z,KCASANFR1762,90 7th Street San Francisco CA 94103,Pole,Pole,10 ft,,Publicly Accessible,Lower/Street Level,https://drive.google.com/drive/folders/1P-Ey_ELB9mv-2At8hOqHQO7T6oTgm9yi?usp=sharing,0,0
